,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Effective School Leadership %,Strong Family-Community Ties %,Trust %,Rigorous Instruction Rating_Approaching Target,Rigorous Instruction Rating_Exceeding Target,Rigorous Instruction Rating_Meeting Target,Rigorous Instruction Rating_Not Meeting Target,Collaborative Teachers Rating_Approaching Target,Collaborative Teachers Rating_Exceeding Target,Collaborative Teachers Rating_Meeting Target,Collaborative Teachers Rating_Not Meeting Target,Supportive Environment Rating_Approaching Target,Supportive Environment Rating_Exceeding Target,Supportive Environment Rating_Meeting Target,Supportive Environment Rating_Not Meeting Target,Effective School Leadership Rating_Approaching Target,Effective School Leadership Rating_Exceeding Target,Effective School Leadership Rating_Meeting Target,Effective School Leadership Rating_Not Meeting Target,Strong Family-Community Ties Rating_Approaching Target,Strong Family-Community Ties Rating_Exceeding Target,Strong Family-Community Ties Rating_Meeting Target,Strong Family-Community Ties Rating_Not Meeting Target,Trust Rating_Approaching Target,Trust Rating_Exceeding Target,Trust Rating_Meeting Target,Trust Rating_Not Meeting Target,Student Achievement Rating_Approaching Target,Student Achievement Rating_Exceeding Target,Student Achievement Rating_Meeting Target,Student Achievement Rating_Not Meeting Target
10,P.S. 184M SHUANG WEN,310100010184,01M184,1,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.5589999999999999,40809.9,17%,71%,4%,12%,15%,9%,0.98,0.02,0.9,0.81,0.91,0.67,0.83,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
11,P.S. 188 THE ISLAND SCHOOL,310100010188,01M188,1,40.71987,-73.977376,"442 E HOUSTON ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,08,Yes,0.917,27881.59,16%,2%,30%,64%,93%,4%,0.91,0.37,1.0,1.0,0.99,0.99,0.92,0.99,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
12,ORCHARD COLLEGIATE ACADEMY,310100011292,01M292,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08,09,10,11,12",06,12,Yes,0.8320000000000001,48443.1284931506,14%,12%,26%,57%,84%,3%,0.84,0.58,0.72,0.77,0.77,0.72,0.76,0.87,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",310100010301,01M301,1,40.729892,-73.98423100000001,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",06,08,No,0.7909999999999999,48443.1284931506,6%,8%,29%,55%,84%,4%,0.9,0.35,0.84,0.78,0.81,0.8,0.74,0.87,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
14,THE EAST VILLAGE COMMUNITY SCHOOL,310100010315,01M315,1,40.727726000000004,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,05,No,0.36200000000000004,63760.0,1%,9%,9%,21%,29%,55%,0.95,0.11,0.9,0.93,0.94,0.93,0.97,0.96,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
15,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,310100010332,01M332,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",06,08,No,0.7709999999999999,48443.1284931506,15%,5%,27%,63%,90%,4%,0.92,0.26,0.92,0.96,0.92,0.96,0.86,0.96,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
16,THE CHILDREN'S WORKSHOP SCHOOL,310100010361,01M361,1,40.727726000000004,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,05,No,0.451,62519.57,7%,10%,10%,39%,49%,38%,0.93,0.23,0.97,0.97,0.97,0.96,0.93,0.94,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
17,NEIGHBORHOOD SCHOOL,310100010363,01M363,1,40.724404,-73.98635999999999,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,05,No,0.43,57504.48,4%,5%,13%,34%,47%,45%,0.93,0.23,0.99,0.97,0.95,0.96,0.95,0.99,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
18,EARTH SCHOOL,310100010364,01M364,1,40.723746999999996,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,05,No,0.44799999999999995,56787.2,6%,7%,13%,35%,48%,37%,0.94,0.15,0.96,0.99,0.96,0.98,0.96,0.98,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
19,SCHOOL FOR GLOBAL LEADERS,310100010378,01M378,1,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",06,08,No,0.764,48443.1284931506,8%,15%,22%,58%,81%,2%,0.92,0.27,0.79,0.87,0.82,0.77,0.76,0.88,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
20,EAST SIDE COMMUNITY SCHOOL,310100011450,01M450,1,40.729153000000004,-73.982474,"420 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"06,07,08,09,10,11,12",06,12,No,0.61,48443.1284931506,1%,11%,21%,53%,74%,12%,0.97,0.05,0.92,0.95,0.92,0.96,0.88,0.95,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
21,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",310100011539,01M539,1,40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",NEW YORK,10002,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.257,76833.96,0%,33%,9%,11%,20%,42%,0.97,0.03,0.81,0.73,0.85,0.55,0.81,0.74,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
22,TOMPKINS SQUARE MIDDLE SCHOOL,310100010839,01M839,1,40.723746999999996,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,"06,07,08",06,08,No,0.597,48443.1284931506,3%,23%,16%,37%,53%,20%,0.96,0.07,0.9,0.89,0.88,0.86,0.83,0.94,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
23,P.S. 001 ALFRED E. SMITH,310200010001,02M001,2,40.712561,-73.997474,"8 HENRY ST NEW YORK, NY 10038",NEW YORK,10038,"PK,0K,01,02,03,04,05",PK,05,No,0.769,32817.79,25%,64%,12%,22%,34%,1%,0.95,0.18,0.89,0.91,0.95,0.86,0.87,0.94,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
24,P.S. 002 MEYER LONDON,310200010002,02M002,2,40.712943,-73.991557,"122 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,05,No,0.858,26114.78,36%,85%,4%,9%,13%,1%,0.98,0.06,0.93,0.86,0.94,0.76,0.83,0.89,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
25,P.S. 003 CHARRETTE SCHOOL,310200010003,02M003,2,40.732632,-74.00594699999999,"490 HUDSON ST NEW YORK, NY 10014",NEW YORK,10014,"PK,0K,01,02,03,04,05",PK,05,No,0.17600000000000002,103399.19,4%,7%,5%,12%,18%,70%,0.95,0.13,0.97,0.93,0.97,0.93,0.96,0.95,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
26,P.S. 006 LILLIE D. BLAKE,310200010006,02M006,2,40.777703,-73.96042800000001,"45 E 81ST ST NEW YORK, NY 10028",NEW YORK,10028,"0K,01,02,03,04,05",0K,05,No,0.10099999999999999,144270.13,2%,13%,2%,7%,9%,75%,0.96,0.05,0.87,0.9,0.95,0.87,0.92,0.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
27,P.S. 011 WILLIAM T. HARRIS,310200010011,02M011,2,40.744549,-74.000737,"320 W 21ST ST NEW YORK, NY 10011",NEW YORK,10011,"PK,0K,01,02,03,04,05",PK,05,No,0.293,98455.77,3%,14%,7%,25%,32%,49%,0.96,0.1,0.93,0.93,0.98,0.91,0.93,0.95,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
28,P.S. 033 CHELSEA PREP,310200010033,02M033,2,40.748945,-74.00024300000001,"281 9TH AVE NEW YORK, NY 10001",NEW YORK,10001,"PK,0K,01,02,03,04,05",PK,05,No,0.43,88011.14,4%,25%,12%,30%,42%,26%,0.96,0.13,0.97,0.9,0.94,0.82,0.92,0.89,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
29,P.S. 040 AUGUSTUS SAINT-GAUDENS,310200010040,02M040,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003,"PK,0K,01,02,03,04,05",PK,05,No,0.153,102421.46,3%,9%,3%,13%,16%,64%,0.96,0.07,0.97,0.94,0.99,0.91,0.96,0.96,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
30,P.S. 041 GREENWICH VILLAGE,310200010041,02M041,2,40.735526,-73.999113,"116 W 11TH ST NEW YORK, NY 10011",NEW YORK,10011,"PK,0K,01,02,03,04,05",PK,05,No,0.066,115909.89,2%,9%,2%,10%,11%,69%,0.97,0.02,0.95,0.96,0.98,0.92,0.95,0.98,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
31,P.S. 042 BENJAMIN ALTMAN,310200010042,02M042,2,40.716136,-73.990841,"71 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,05,No,0.785,48443.1284931506,27%,93%,0%,4%,4%,2%,0.98,0.02,0.91,0.94,0.96,0.89,0.85,0.96,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
32,P.S. 051 ELIAS HOWE,310200010051,02M051,2,40.761593,-73.99559,"525 W 44TH ST NEW YORK, NY 10036",NEW YORK,10036,"0K,01,02,03,04,05",0K,05,No,0.626,91149.35,9%,24%,12%,42%,55%,20%,0.94,0.15,0.9,0.95,0.97,0.91,0.89,0.97,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
33,P.S. 059 BEEKMAN HILL INTERNATIONAL,310200010059,02M059,2,40.759213,-73.966183,"231-249 E 56TH ST NEW YORK, NY 10019",NEW YORK,10019,"0K,01,02,03,04,05",0K,05,No,0.075,116235.64,4%,15%,2%,13%,15%,59%,0.96,0.06,0.87,0.87,0.95,0.76,0.94,0.89,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
34,P.S. 77 LOWER LAB SCHOOL,310200010077,02M077,2,40.785014000000004,-73.95003100000001,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,"0K,01,02,03,04,05",0K,05,No,0.069,105947.71,0%,27%,0%,5%,6%,59%,0.97,0.01,0.93,0.96,0.98,0.93,0.95,0.99,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
35,P.S. 89,310200010089,02M089,2,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",NEW YORK,10282,"PK,0K,01,02,03,04,05",PK,05,No,0.068,181382.06,4%,16%,2%,14%,16%,62%,0.96,0.06,0.95,0.94,0.98,0.9,0.93,0.97,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
36,J.H.S. 104 SIMON BARUCH,310200010104,02M104,2,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",NEW YORK,10010,"06,07,08",06,08,No,0.522,48443.1284931506,5%,40%,8%,21%,29%,28%,0.96,0.11,0.87,0.89,0.85,0.84,0.7,0.92,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
37,P.S. 111 ADOLPH S. OCHS,310200010111,02M111,2,40.765834000000005,-73.989602,"440 W 53RD ST NEW YORK, NY 10019",NEW YORK,10019,"PK,0K,01,02,03,04,05",PK,05,No,0.645,70970.41,12%,18%,16%,50%,66%,13%,0.92,0.26,0.89,0.79,0.81,0.74,0.88,0.86,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
38,EAST SIDE MIDDLE SCHOOL,310200010114,02M114,2,40.780646000000004,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",NEW YORK,10028,"06,07,08",06,08,No,0.10400000000000001,48443.1284931506,0%,15%,3%,9%,12%,66%,0.98,0.02,0.92,0.96,0.92,0.94,0.82,0.96,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
39,P.S. 116 MARY LINDLEY MURRAY,310200010116,02M116,2,40.744425,-73.977634,"210 E 33RD ST NEW YORK, NY 10016",NEW YORK,10016,"0K,01,02,03,04,05",0K,05,No,0.307,96174.16,11%,20%,9%,22%,30%,44%,0.95,0.14,0.92,0.92,0.95,0.83,0.9,0.92,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
40,P.S. 124 YUNG WING,310200010124,02M124,2,40.714426,-73.995526,"40 DIVISION ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,05,No,0.578,42493.71,29%,95%,0%,3%,3%,1%,0.98,0.02,0.83,0.77,0.94,0.65,0.8,0.85,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
41,P.S. 126 JACOB AUGUST RIIS,310200010126,02M126,2,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",NEW YORK,10038,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.728,38919.61,17%,59%,11%,21%,32%,8%,0.96,0.1,0.91,0.93,0.91,0.89,0.82,0.95,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
42,P.S. 130 HERNANDO DE SOTO,310200010130,02M130,2,40.718819,-73.998263,"143 BAXTER ST NEW YORK, NY 10013",NEW YORK,10013,"PK,0K,01,02,03,04,05",PK,05,No,0.616,59851.21,13%,88%,1%,5%,6%,3%,0.99,0.02,0.98,0.97,0.97,0.96,0.9,0.99,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
43,M.S. 131,310200010131,02M131,2,40.716213,-73.993555,"100 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",06,08,No,0.8370000000000001,48443.1284931506,35%,77%,8%,14%,22%,0%,0.97,0.09,0.86,0.92,0.91,0.86,0.78,0.95,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
44,P.S. 150,310200010150,02M150,2,40.718083,-74.010942,"334 GREENWICH ST NEW YORK, NY 10013",NEW YORK,10013,"PK,0K,01,02,03,04,05",PK,05,No,0.196,132795.44,2%,16%,5%,14%,19%,55%,0.95,0.05,0.95,0.9,0.96,0.9,0.95,0.97,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
45,YORKVILLE COMMUNITY SCHOOL,310200010151,02M151,2,40.777924,-73.947316,"421 E 88TH ST NEW YORK, NY 10128",NEW YORK,10128,"0K,01,02,03,04,05",0K,05,No,0.36700000000000005,81690.71,7%,7%,14%,27%,41%,47%,0.94,0.16,0.96,0.96,0.93,0.9,0.92,0.95,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
46,P.S. 158 BAYARD TAYLOR,310200010158,02M158,2,40.770203,-73.95073000000001,"1458 YORK AVE NEW YORK, NY 10021",NEW YORK,10021,"PK,0K,01,02,03,04,05",PK,05,No,0.11,94194.68,5%,11%,4%,10%,14%,71%,0.96,0.08,0.96,0.87,0.96,0.8,0.89,0.89,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
47,J.H.S. 167 ROBERT F. WAGNER,310200010167,02M167,2,40.771827,-73.95794000000001,"220 E 76TH ST NEW YORK, NY 10021",NEW YORK,10021,"06,07,08",06,08,No,0.36,48443.1284931506,4%,28%,8%,19%,27%,42%,0.96,0.09,0.85,0.89,0.87,0.84,0.76,0.92,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
48,YORKVILLE EAST MIDDLE SCHOOL,310200010177,02M177,2,40.770203,-73.95073000000001,"1458 YORK AVE NEW YORK, NY 10075",NEW YORK,10075,"06,07,08",06,08,No,0.271,48443.1284931506,1%,11%,11%,30%,40%,42%,0.96,0.09,0.99,0.99,0.88,0.99,0.92,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,P.S. 183 ROBERT L. STEVENSON,310200010183,02M183,2,40.763762,-73.957759,"419 E 66TH ST NEW YORK, NY 10021",NEW YORK,10021,"0K,01,02,03,04,05",0K,05,No,0.07400000000000001,104700.89,6%,17%,4%,10%,14%,66%,0.96,0.07,0.85,0.94,0.94,0.88,0.93,0.95,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
50,P.S. 198 ISADOR E. IDA STRAUS,310200010198,02M198,2,40.785014000000004,-73.95003100000001,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,"PK,0K,01,02,03,04,05",PK,05,No,0.365,81932.76,7%,16%,10%,27%,37%,45%,0.94,0.19,0.89,0.9,0.86,0.78,0.95,0.93,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
51,P.S. 212 MIDTOWN WEST,310200010212,02M212,2,40.761328999999996,-73.98866899999999,"328 W 48TH ST NEW YORK, NY 10036",NEW YORK,10036,"0K,01,02,03,04,05",0K,05,No,0.2,85295.72,2%,10%,6%,23%,29%,48%,0.96,0.05,0.93,0.98,0.97,0.97,0.97,0.99,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
52,P.S./I.S. 217 ROOSEVELT ISLAND,310200010217,02M217,2,40.763969,-73.948468,"645 MAIN ST ROOSEVELT ISLAND, NY 10044",ROOSEVELT ISLAND,10044,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.293,93388.06,7%,29%,16%,14%,30%,36%,0.95,0.1,0.93,0.95,0.89,0.88,0.89,0.92,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
53,ELLA BAKER SCHOOL,310200011225,02M225,2,40.765368,-73.959696,"317 E 67TH ST NEW YORK, NY 10021",NEW YORK,10021,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.429,58096.58,3%,4%,19%,37%,56%,35%,0.92,0.26,0.91,0.91,0.93,0.82,0.95,0.9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
54,P.S. 234 INDEPENDENCE SCHOOL,310200010234,02M234,2,40.716096,-74.011765,"292 GREENWICH ST NEW YORK, NY 10007",NEW YORK,10007,"0K,01,02,03,04,05",0K,05,No,0.065,176793.4,1%,11%,1%,8%,10%,70%,0.96,0.06,0.92,0.9,0.97,0.76,0.94,0.87,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
55,M.S. 255 SALK SCHOOL OF SCIENCE,310200010255,02M255,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",06,08,No,0.131,48443.1284931506,0%,19%,3%,9%,13%,63%,0.97,0.05,0.93,0.97,0.95,0.96,0.88,0.98,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
56,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,310200010260,02M260,2,40.736114,-73.992352,"10 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",06,08,No,0.23600000000000002,48443.1284931506,1%,14%,6%,10%,16%,65%,0.97,0.02,0.91,0.9,0.9,0.87,0.87,0.95,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
